Solution Name,Detail URL
Microsoft Windows Server 2012 Administration,https://www.shl.com/solutions/products/product-catalog/view/microsoft-windows-server-2012-administration/
Microsoft Word 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-essentials-new/
Microsoft Word 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-new/
Mineral Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/
Mining Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/
Mobility (New),https://www.shl.com/solutions/products/product-catalog/view/mobility-new/
Molecular Biology (New),https://www.shl.com/solutions/products/product-catalog/view/molecular-biology-new/
MongoDB (New),https://www.shl.com/solutions/products/product-catalog/view/mongodb-new/
Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/
MQ Candidate Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-candidate-motivation-report/
MQ Employee Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-employee-motivation-report/
MQ Motivation Report Pack,https://www.shl.com/solutions/products/product-catalog/view/mq-motivation-report-pack/
MQ Profile,https://www.shl.com/solutions/products/product-catalog/view/mq-profile/
MS Access (New),https://www.shl.com/solutions/products/product-catalog/view/ms-access-new/
MS Excel (New),https://www.shl.com/solutions/products/product-catalog/view/ms-excel-new/
MS Office Basic Computer Literacy (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/
MS PowerPoint (New),https://www.shl.com/solutions/products/product-catalog/view/ms-powerpoint-new/
MS Word (New),https://www.shl.com/solutions/products/product-catalog/view/ms-word-new/
MuleSoft Development (New),https://www.shl.com/solutions/products/product-catalog/view/mulesoft-development-new/
Multitasking Ability,https://www.shl.com/solutions/products/product-catalog/view/multitasking-ability/
Networking and Implementation (New),https://www.shl.com/solutions/products/product-catalog/view/networking-and-implementation-new/
Node.js (New),https://www.shl.com/solutions/products/product-catalog/view/node-js-new/
Nursing (New),https://www.shl.com/solutions/products/product-catalog/view/nursing-new/
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/
Operations Management (New),https://www.shl.com/solutions/products/product-catalog/view/operations-management-new/
OPQ Candidate Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-plus-report/
OPQ Candidate Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-report-2-0/
OPQ Emotional Intelligence Report,https://www.shl.com/solutions/products/product-catalog/view/opq-emotional-intelligence-report/
OPQ Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/
OPQ Manager Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report/
OPQ Manager Plus Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report-2-0/
OPQ Maximising your Learning Report,https://www.shl.com/solutions/products/product-catalog/view/opq-maximising-your-learning-report/
OPQ MQ Sales Report,https://www.shl.com/solutions/products/product-catalog/view/opq-mq-sales-report/
OPQ Premium Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report/
OPQ Premium Plus Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report-2-0/
OPQ Profile Report,https://www.shl.com/solutions/products/product-catalog/view/opq-profile-report/
OPQ Team Impact Group Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-group-development-report/
OPQ Team Impact Individual Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-individual-development-report/
OPQ Team Impact Selection Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-selection-report/
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/
OPQ Team Types and Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report/
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report/
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/
OPQ Universal Competency Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report/
OPQ Universal Competency Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report-2-0/
OPQ User and Managers Report,https://www.shl.com/solutions/products/product-catalog/view/opq-user-and-managers-report/
OPQ User Report,https://www.shl.com/solutions/products/product-catalog/view/opq-user-report/
Oracle DBA (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-advanced-level-new/
Oracle DBA (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-entry-level-new/
Oracle PL/SQL (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-plsql-new/
Oracle WebLogic Server (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-weblogic-server-new/
Organic Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/organic-chemistry-new/
Paint Technology (New),https://www.shl.com/solutions/products/product-catalog/view/paint-technology-new/
Pediatrics (New),https://www.shl.com/solutions/products/product-catalog/view/pediatrics-new/
Pega Development (New),https://www.shl.com/solutions/products/product-catalog/view/pega-development-new/
Perl (New),https://www.shl.com/solutions/products/product-catalog/view/perl-new/
Petrochemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/petrochemical-engineering-new/
Petroleum Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/petroleum-engineering-new/
Pharmaceutical Analysis (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-analysis-new/
Pharmaceutical Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-chemistry-new/
Pharmaceutical Science (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-science-new/
Pharmaceutics (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutics-new/
Pharmacology (New),https://www.shl.com/solutions/products/product-catalog/view/pharmacology-new/
PHP (New),https://www.shl.com/solutions/products/product-catalog/view/php-new/
PJM Development Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-development-report/
PJM Selection Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-selection-report/
Polymer Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/polymer-engineering-new/
Power Electronics and Drives (New),https://www.shl.com/solutions/products/product-catalog/view/power-electronics-and-drives-new/
Power System Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/power-system-engineering-new/
Prism (New),https://www.shl.com/solutions/products/product-catalog/view/prism-new/
Production and Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-and-industrial-engineering-new/
Production Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-engineering-new/
Programming Concepts,https://www.shl.com/solutions/products/product-catalog/view/programming-concepts/
Project Management (2013),https://www.shl.com/solutions/products/product-catalog/view/project-management-2013/
Proofreading v1,https://www.shl.com/solutions/products/product-catalog/view/proofreading-v1/
Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new/
